Rank,FID_1,FID_2,FID_3,FID_4,FID_5,FID_6,FID_7,FID_8,FID_9,FID_10,FID_11,FID_12,FID_13,FID_14,FID_15,FID_16,FID_17,FID_18,FID_19,FID_20,FID_21,FID_22,FID_23,FID_24,FID_25,FID_26,FID_27,FID_28,FID_29,FID_30,FID_31,FID_32,FID_33,FID_34,FID_35,FID_36,FID_37,FID_38,FID_39,FID_40,FID_41,FID_42,FID_43,FID_44,FID_45,FID_46,FID_47,FID_48,FID_49,FID_50,FID_51,FID_52,FID_53,FID_54,FID_55,FID_56
1,8064.0,9184.0,10156.0,10191.0,10205.0,13113.0,13551.0,13811.0,14129.0,14371.0,14784.0,14819.0,15190.0,15232.0,15276.0,15405.0,15897.0,16008.0,16028.0,16095.0,17170.0,17312.0,17792.0,17929.0,18314.0,18599.0,19216.0,20071.0,20608.0,20844.0,20865.0,22392.0,22640.0,25192.0,25855.0,27157.0,31897.0,31937.0,40685.0,46204.0,46391.0,48232.0,,,,,,,,,,,,,,
2,5177.0,7178.0,7384.0,10156.0,10205.0,10229.0,11569.0,12304.0,12331.0,12400.0,13013.0,13294.0,14556.0,14784.0,14937.0,16130.0,16681.0,16726.0,16936.0,17167.0,17262.0,17287.0,17409.0,17457.0,17667.0,18066.0,18147.0,18312.0,18829.0,19147.0,20251.0,20252.0,20278.0,20749.0,20865.0,21370.0,23801.0,29904.0,31438.0,35102.0,39431.0,40532.0,40562.0,46154.0,47232.0,,,,,,,,,,,
3,9113.0,9739.0,10156.0,10205.0,10229.0,12213.0,12441.0,12450.0,12844.0,12937.0,14904.0,14940.0,15715.0,15861.0,15976.0,16053.0,16726.0,16894.0,17076.0,17084.0,18043.0,18083.0,18679.0,18841.0,18872.0,19062.0,19168.0,19169.0,19216.0,19217.0,19400.0,19401.0,19831.0,20865.0,21171.0,21220.0,21882.0,22606.0,24453.0,25272.0,25280.0,25323.0,25722.0,27605.0,27751.0,29454.0,46237.0,48212.0,,,,,,,,
4,10156.0,10205.0,11034.0,11771.0,11988.0,13783.0,13790.0,14907.0,14937.0,15511.0,17262.0,18043.0,18744.0,20865.0,22106.0,22447.0,22451.0,22625.0,22652.0,22776.0,23109.0,25854.0,26431.0,26578.0,26990.0,27428.0,29192.0,32293.0,32633.0,40461.0,45290.0,45537.0,46093.0,46257.0,48043.0,48241.0,49931.0,,,,,,,,,,,,,,,,,,,
5,5361.0,10156.0,10205.0,10628.0,11034.0,11243.0,11726.0,11979.0,12441.0,12709.0,12774.0,12844.0,13113.0,13294.0,14348.0,14515.0,14520.0,14988.0,15208.0,15218.0,16278.0,16310.0,16311.0,16317.0,16342.0,17285.0,17291.0,17312.0,17409.0,17941.0,17962.0,20865.0,21370.0,24928.0,31408.0,37057.0,37058.0,37059.0,45931.0,46153.0,46183.0,46351.0,46473.0,46857.0,,,,,,,,,,,,
6,10156.0,10191.0,10205.0,10690.0,12539.0,13039.0,13823.0,14216.0,14281.0,14703.0,15130.0,15399.0,16369.0,16936.0,17353.0,17560.0,17567.0,17959.0,17975.0,18393.0,18484.0,18525.0,18634.0,20153.0,20865.0,22140.0,22331.0,22379.0,24515.0,25269.0,26410.0,30931.0,32915.0,39522.0,45605.0,45648.0,,,,,,,,,,,,,,,,,,,,
7,3014.0,7773.0,7953.0,8064.0,8698.0,9093.0,9666.0,10359.0,11490.0,11567.0,11569.0,14343.0,14501.0,14575.0,14668.0,15032.0,15126.0,17353.0,17621.0,18462.0,21921.0,23159.0,23249.0,23296.0,23392.0,23566.0,23614.0,23615.0,23663.0,23709.0,23740.0,23744.0,23749.0,23750.0,23752.0,23786.0,23827.0,23828.0,23897.0,24401.0,27075.0,27357.0,28117.0,29127.0,38848.0,39284.0,46105.0,46238.0,,,,,,,,
8,2851.0,2882.0,3085.0,3677.0,3732.0,3736.0,7801.0,7855.0,8064.0,8567.0,10683.0,12611.0,13010.0,13136.0,13732.0,17667.0,17814.0,18518.0,19307.0,19943.0,22079.0,22168.0,22447.0,22753.0,22794.0,23155.0,23159.0,23250.0,23256.0,23614.0,25328.0,26465.0,26508.0,29064.0,30425.0,31878.0,40081.0,40563.0,45866.0,46171.0,46206.0,46351.0,49932.0,50031.0,,,,,,,,,,,,
9,4024.0,6524.0,7649.0,9377.0,10283.0,10358.0,10359.0,10683.0,12471.0,12642.0,12716.0,12840.0,14809.0,18634.0,19437.0,21054.0,21677.0,21883.0,23099.0,23159.0,23249.0,23250.0,23621.0,23749.0,23750.0,23820.0,23848.0,23980.0,24696.0,26397.0,27357.0,30931.0,30974.0,31352.0,40614.0,46137.0,46157.0,46218.0,46326.0,46380.0,46842.0,47232.0,,,,,,,,,,,,,,
10,6579.0,7656.0,7671.0,10112.0,10294.0,10378.0,13011.0,13136.0,14382.0,14750.0,17842.0,17922.0,20944.0,21171.0,21197.0,22038.0,22361.0,22841.0,23066.0,23155.0,23159.0,23250.0,23256.0,23295.0,23364.0,23614.0,23801.0,23925.0,23994.0,24847.0,25615.0,25722.0,26330.0,27751.0,27944.0,28637.0,28920.0,29127.0,29159.0,29724.0,30107.0,31511.0,39248.0,39261.0,45967.0,46163.0,46187.0,46216.0,46362.0,46391.0,46493.0,46500.0,46594.0,46766.0,47992.0,50355.0
