Iteration_No,1th_Score,2th_Score,3th_Score,4th_Score,5th_Score,6th_Score,7th_Score,8th_Score,9th_Score,10th_Score
100,102,83,77,76,61,55,54,53,44,43
200,102,91,83,83,81,78,78,77,76,74
300,112,102,91,90,83,83,81,80,78,78
400,112,102,91,90,84,83,83,81,80,80
500,112,102,91,90,84,83,83,83,81,80
600,112,102,91,90,84,83,83,83,81,81
700,112,102,91,90,84,83,83,83,82,81
800,112,102,91,90,88,85,84,83,83,83
900,112,102,91,90,88,85,84,83,83,83
1000,112,102,102,91,90,89,88,86,86,85
1100,235,112,102,102,91,90,89,88,86,86
1200,235,112,102,102,91,90,89,88,86,86
1300,235,112,102,102,91,90,89,88,86,86
1400,235,193,112,102,102,91,90,89,88,86
1500,235,193,112,102,102,91,90,89,88,86
1600,235,193,112,102,102,91,90,89,88,87
1700,235,193,112,102,102,91,90,89,88,87
1800,235,193,112,102,102,91,90,89,88,87
1900,235,193,112,102,102,91,90,89,88,87
2000,235,193,112,102,102,92,91,90,89,88
2100,235,193,112,102,102,92,91,90,89,88
2200,235,202,193,112,102,102,92,91,90,89
2300,235,202,196,193,112,102,102,92,91,90
2400,235,202,196,193,112,102,102,92,91,91
2500,235,202,198,196,193,188,112,102,102,92
2600,235,202,198,196,193,188,112,102,102,92
2700,235,202,198,196,193,188,112,102,102,92
2800,235,202,198,196,193,190,188,112,102,102
2900,235,202,198,196,193,190,188,112,102,102
3000,235,202,198,196,193,190,188,112,102,102
3100,235,202,198,196,193,190,188,112,102,102
3200,235,202,198,196,193,190,188,112,102,102
3300,235,202,198,196,193,190,188,112,102,102
3400,235,202,198,196,193,190,188,112,102,102
3500,235,202,198,196,193,190,188,112,102,102
3600,235,202,198,196,193,190,188,112,102,102
3700,235,202,198,196,193,190,188,112,102,102
3800,235,202,198,196,193,190,188,112,102,102
3900,235,202,198,196,193,190,188,112,102,102
4000,235,202,198,196,193,190,188,112,102,102
4100,235,202,198,196,193,190,188,112,102,102
4200,235,202,198,196,193,190,188,112,102,102
4300,235,202,198,196,193,190,188,112,102,102
4400,235,202,198,196,194,193,190,189,188,112
4500,235,202,198,197,196,194,193,190,189,188
4600,235,202,198,197,196,194,193,190,189,188
4700,235,202,198,197,196,194,194,193,190,189
4800,235,202,198,197,196,194,194,193,190,189
4900,235,202,198,197,196,194,194,193,190,189
5000,235,202,198,197,196,194,194,193,190,189
5100,235,202,198,197,196,194,194,193,190,189
5200,235,202,198,197,197,196,194,194,193,190
5300,235,202,198,197,197,196,194,194,193,190
5400,235,202,198,197,197,196,194,194,193,190
5500,235,202,198,197,197,196,194,194,193,190
5600,235,202,198,197,197,196,194,194,194,193
5700,235,202,198,197,197,196,194,194,194,193
5800,235,202,198,197,197,196,194,194,194,193
5900,235,202,198,197,197,196,194,194,194,193
6000,235,202,198,197,197,196,194,194,194,193
6100,235,202,198,197,197,196,194,194,194,193
6200,235,202,198,197,197,196,194,194,194,193
6300,235,202,198,197,197,196,194,194,194,193
6400,235,202,198,197,197,196,194,194,194,193
6500,235,202,198,197,197,196,194,194,194,193
6600,235,202,198,197,197,196,194,194,194,193
6700,235,202,198,197,197,196,194,194,194,193
6800,235,202,198,197,197,196,196,194,194,194
6900,235,202,198,197,197,196,196,194,194,194
7000,235,202,198,197,197,196,196,194,194,194
7100,235,202,198,197,197,196,196,194,194,194
7200,235,202,198,197,197,196,196,194,194,194
7300,235,202,198,197,197,196,196,194,194,194
7400,235,202,198,197,197,196,196,194,194,194
7500,235,202,198,197,197,196,196,194,194,194
7600,235,202,198,197,197,196,196,194,194,194
7700,235,202,198,197,197,196,196,194,194,194
7800,235,202,198,197,197,196,196,194,194,194
7900,235,202,198,197,197,196,196,194,194,194
8000,235,202,198,197,197,196,196,194,194,194
8100,235,202,198,197,197,196,196,194,194,194
8200,235,202,198,197,197,196,196,196,196,194
8300,235,202,198,197,197,196,196,196,196,194
8400,235,202,198,197,197,196,196,196,196,194
8500,235,202,198,197,197,196,196,196,196,194
8600,235,202,198,197,197,196,196,196,196,194
8700,235,202,198,197,197,196,196,196,196,194
8800,235,202,198,197,197,196,196,196,196,194
8900,235,202,198,197,197,196,196,196,196,194
9000,235,202,198,197,197,196,196,196,196,194
9100,235,202,198,197,197,196,196,196,196,194
9200,235,202,198,197,197,196,196,196,196,194
9300,235,202,198,197,197,196,196,196,196,194
9400,235,202,201,198,197,197,196,196,196,196
9500,235,202,201,198,197,197,196,196,196,196
9600,235,202,201,198,197,197,196,196,196,196
9700,235,202,201,198,197,197,196,196,196,196
9800,235,202,201,198,197,197,196,196,196,196
9900,235,235,202,201,198,197,197,196,196,196
10000,235,235,202,201,198,197,197,196,196,196
10100,235,235,202,201,198,197,197,196,196,196
10200,235,235,202,201,198,197,197,196,196,196
10300,235,235,202,201,198,197,197,196,196,196
10400,235,235,202,201,198,197,197,196,196,196
10500,235,235,202,201,198,197,197,196,196,196
10600,235,235,202,201,198,197,197,196,196,196
10700,235,235,202,201,198,197,197,196,196,196
10800,235,235,202,201,198,197,197,196,196,196
10900,240,235,235,202,201,198,197,197,196,196
11000,240,235,235,202,201,199,198,197,197,196
11100,240,235,235,202,201,199,198,197,197,196
11200,240,235,235,202,201,199,198,197,197,196
11300,240,235,235,202,201,199,198,197,197,196
11400,240,237,235,235,202,202,201,199,198,197
11500,240,237,235,235,202,202,201,199,198,197
11600,240,237,235,235,202,202,201,199,198,197
11700,240,237,235,235,202,202,201,199,198,197
11800,240,237,235,235,202,202,201,199,198,197
11900,240,237,235,235,202,202,201,199,198,197
12000,240,237,235,235,202,202,201,199,198,197
12100,240,237,235,235,202,202,201,199,198,197
12200,240,237,235,235,202,202,201,199,198,197
12300,240,237,235,235,202,202,201,199,198,197
12400,240,237,235,235,202,202,201,199,198,197
12500,240,237,235,235,202,202,201,199,198,197
12600,240,237,235,235,202,202,201,199,198,197
12700,240,237,235,235,202,202,201,199,198,197
12800,240,237,235,235,202,202,201,199,198,197
12900,240,237,235,235,202,202,201,199,198,197
13000,240,237,235,235,202,202,201,199,198,197
13100,240,237,235,235,202,202,201,199,198,197
13200,240,237,235,235,202,202,201,199,198,198
13300,240,237,235,235,203,202,202,201,199,198
13400,240,237,235,235,203,202,202,201,199,198
13500,240,237,235,235,203,202,202,201,199,198
13600,240,237,235,235,203,202,202,201,199,198
13700,240,237,235,235,203,202,202,201,199,198
13800,240,237,235,235,203,202,202,201,199,198
13900,240,237,235,235,203,202,202,201,199,198
14000,240,237,235,235,203,202,202,201,199,198
14100,240,237,235,235,203,202,202,201,199,198
14200,240,237,235,235,203,202,202,201,199,198
14300,240,237,235,235,203,202,202,201,199,198
14400,240,237,235,235,203,202,202,201,199,198
14500,240,237,235,235,203,202,202,201,199,198
14600,240,237,235,235,203,202,202,201,199,198
14700,240,237,235,235,203,202,202,201,199,198
14800,240,237,235,235,203,202,202,201,199,198
14900,240,237,235,235,203,202,202,201,199,198
